ID,State,Municipality,Municipality - code,Contract Date,Month,Year,Transaction Value in R$,Disbursed Value R$ (*),Interest ,Grace Period (months),Amortization Period (months),CNAE Sector Grouped ,CNAE Subsector ,CNAE Subsector - name ,BNDES Sector ,BNDES Subsector,Client Size,Accredited Financial Institution
1, SC,CHAPECO,4204202,2018/06/13,jun.,2018,"479 783,00","479 783,00","4,00","24,00","120,00",Manufacturing,Pulp and Paper,Manufacture of Paper,Industry,Pulp and Paper,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
2, SC,BRUSQUE,4202909,2018/06/19,jun.,2018,"821 263,00","657 010,00","4,00","24,00","120,00",Commerce and Services,Commerce,Retail Trade of Automotive Fuels,Commerce and Services,Commerce and Services,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
3, RS,SANTA MARIA,4316907,2018/06/19,jun.,2018,"552 800,00","552 800,00","4,50","24,00","96,00",Commerce and Services,Commerce,Retail Trade of Automobiles and Light Vehicles,Commerce and Services,Commerce and Services,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
4, RS,SANTA MARIA,4316907,2018/06/19,jun.,2018,"552 800,00","552 800,00","4,50","24,00","96,00",Commerce and Services,Commerce,Retail Trade of Automobiles and Light Vehicles,Commerce and Services,Commerce and Services,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
5, PR,CIANORTE,4105508,2018/06/21,jun.,2018,"2 384 000,00","1 668 800,00","4,00","24,00","96,00",Manufacturing,Textile,"Textile Bleaching, Dyeing, and Processing",Industry,Textiles and Clothing,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
6, SC,BRUSQUE,4202909,2018/06/21,jun.,2018,"1 645 108,00","1 316 086,00","4,00","24,00","120,00",Commerce and Services,Commerce,Retail Trade of Automotive Fuels,Commerce and Services,Commerce and Services,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
7, SC,XANXERE,4219507,2018/06/21,jun.,2018,"665 600,00","659 798,00","4,00","24,00","120,00",Manufacturing,Wood,"Manufacture of Wood Products, Except Furniture",Industry,Others,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
8, SC,GUABIRUBA,4206306,2018/06/26,jun.,2018,"690 223,00","690 223,00","4,00","24,00","120,00",Manufacturing,Apparel and Accessories,Manufacture of Apparel (Except Underwear and Custom-Made),Industry,Textiles and Clothing,Small,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
9, SC,JOINVILLE,4209102,2018/06/26,jun.,2018,"750 043,00","750 043,00","4,00","24,00","120,00",Commerce and Services,Accommodation and Food Services,Restaurants and Similar Establishments,Commerce and Services,Commerce and Services,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
10, PR,JAPURA,4112405,2018/06/28,jun.,2018,"124 410,00","114 810,00","4,50","24,00","120,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Large,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
11, PR,IVATUBA,4111605,2018/06/28,jun.,2018,"115 066,00","105 658,00","4,50","24,00","120,00",Commerce and Services,Electricity and Gas,Electric Power Generation,Infrastructure,Electric Power,Large,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
12, SC,JOINVILLE,4209102,2018/06/28,jun.,2018,"984 341,00","982 378,00","4,00","24,00","120,00",Manufacturing,Machinery and Equipment,Manufacture of Industrial Furnaces and Thermal Equipment,Industry,Mechanical,Medium,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
